Apr 15, 2016 2:00:16 AM org.apache.karaf.main.Main launch
INFORMATION: Installing and starting initial bundles
Apr 15, 2016 2:00:16 AM org.apache.karaf.main.Main launch
INFORMATION: All initial bundles installed and set to start
Apr 15, 2016 2:00:16 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFORMATION: Trying to lock /srv/opencast/opencast-dist-allinone/data/lock
Apr 15, 2016 2:00:16 AM org.apache.karaf.main.lock.SimpleFileLock lock
INFORMATION: Lock acquired
Apr 15, 2016 2:00:16 AM org.apache.karaf.main.Main$KarafLockCallback lockAquired
INFORMATION: Lock acquired. Setting startlevel to 100
2016-04-15 02:00:38,429 | INFO  | (BundleInfoLogger:110) - Bundle org.springframework.security.web, id 143, version 3.1.0.RELEASE, build number n/a
2016-04-15 02:00:38,431 | INFO  | (BundleInfoLogger:110) - Bundle org.springframework.aop, id 144, version 3.1.0.RELEASE, build number n/a
2016-04-15 02:00:38,433 | INFO  | (BundleInfoLogger:110) - Bundle org.springframework.asm, id 145, version 3.1.0.RELEASE, build number n/a
2016-04-15 02:00:38,435 | INFO  | (BundleInfoLogger:110) - Bundle org.springframework.beans, id 146, version 3.1.0.RELEASE, build number n/a
2016-04-15 02:00:38,437 | INFO  | (BundleInfoLogger:110) - Bundle org.springframework.context.support, id 147, version 3.1.0.RELEASE, build number n/a
2016-04-15 02:00:38,440 | INFO  | (BundleInfoLogger:110) - Bundle org.springframework.context, id 148, version 3.1.0.RELEASE, build number n/a
2016-04-15 02:00:38,442 | INFO  | (BundleInfoLogger:110) - Bundle org.springframework.core, id 149, version 3.1.0.RELEASE, build number n/a
2016-04-15 02:00:38,444 | INFO  | (BundleInfoLogger:110) - Bundle org.springframework.expression, id 150, version 3.1.0.RELEASE, build number n/a
2016-04-15 02:00:38,449 | INFO  | (BundleInfoLogger:110) - Bundle org.springframework.transaction, id 151, version 3.1.0.RELEASE, build number n/a
2016-04-15 02:00:38,451 | INFO  | (BundleInfoLogger:110) - Bundle org.springframework.web, id 152, version 3.1.0.RELEASE, build number n/a
2016-04-15 02:00:38,454 | INFO  | (BundleInfoLogger:110) - Bundle matterhorn-archive-api, id 153, version 2.2.0.SNAPSHOT, build number n/a
2016-04-15 02:00:38,456 | INFO  | (BundleInfoLogger:110) - Bundle matterhorn-authorization-xacml, id 154, version 2.2.0.SNAPSHOT, build number n/a
2016-04-15 02:00:38,458 | INFO  | (BundleInfoLogger:110) - Bundle matterhorn-common, id 155, version 2.2.0.SNAPSHOT, build number n/a
2016-04-15 02:00:38,460 | INFO  | (BundleInfoLogger:110) - Bundle matterhorn-common-jpa-impl, id 156, version 2.2.0.SNAPSHOT, build number n/a
2016-04-15 02:00:38,462 | INFO  | (BundleInfoLogger:110) - Bundle matterhorn-db, id 157, version 2.2.0.SNAPSHOT, build number n/a
2016-04-15 02:00:38,465 | INFO  | (BundleInfoLogger:110) - Bundle matterhorn-dublincore, id 158, version 2.2.0.SNAPSHOT, build number n/a
2016-04-15 02:00:38,467 | INFO  | (BundleInfoLogger:110) - Bundle matterhorn-kernel, id 159, version 2.2.0.SNAPSHOT, build number n/a
2016-04-15 02:00:38,469 | INFO  | (BundleInfoLogger:110) - Bundle matterhorn-message-broker-api, id 160, version 2.2.0.SNAPSHOT, build number n/a
2016-04-15 02:00:38,471 | INFO  | (BundleInfoLogger:110) - Bundle matterhorn-message-broker-impl, id 161, version 2.2.0.SNAPSHOT, build number n/a
2016-04-15 02:00:38,474 | INFO  | (BundleInfoLogger:110) - Bundle matterhorn-mpeg7, id 162, version 2.2.0.SNAPSHOT, build number n/a
2016-04-15 02:00:38,476 | INFO  | (BundleInfoLogger:110) - Bundle matterhorn-runtime-info, id 163, version 2.2.0.SNAPSHOT, build number n/a
2016-04-15 02:00:38,478 | INFO  | (BundleInfoLogger:110) - Bundle matterhorn-scheduler-api, id 164, version 2.2.0.SNAPSHOT, build number n/a
2016-04-15 02:00:38,480 | INFO  | (BundleInfoLogger:110) - Bundle matterhorn-series-service-api, id 165, version 2.2.0.SNAPSHOT, build number n/a
2016-04-15 02:00:38,482 | INFO  | (BundleInfoLogger:110) - Bundle matterhorn-serviceregistry, id 166, version 2.2.0.SNAPSHOT, build number n/a
